"SubscriptionName","SqlServerName","DatabaseName","ResourceGroupName","databaseSkuName","CurrentServiceObjectiveName","Data space allocated","Data space used","Percentage CPU","DTU Limit","DTU Used Average","sql_instance_memory_percent"
"dev-thon-miljo-app","sql-dev-thon-miljo-app","sdb-dev-thon_avfall","rsg-dev-thon-miljo-app","Standard","S0","32","26.967","0","0","0","0"
"dev-thon-miljo-app","sql-dev-thon-miljo-app","master","rsg-dev-thon-miljo-app","System","System0",,,,,,
"dev-thon-shopping","sql-dev-thon-shopping-shared","sdb-dev-thon-shopping-databank","rsg-dev-thon-shopping-shared","GP_S_Gen5","GP_S_Gen5_1","112","106.058","0","0","0","0"
"dev-thon-shopping","sql-dev-thon-shopping-shared","sdb-dev-thon-shopping","rsg-dev-thon-shopping-shared","Standard","S0","12048","11970.51","0","45.0320601851852","0.11664602623457","0"
"dev-thon-shopping","sql-dev-thon-shopping-shared","master","rsg-dev-thon-shopping-shared","System","System2",,,,,,
"prd-thon-miljo-app","sql-prd-thon-miljo-app","sdb-prd-thon_avfall","rsg-prd-thon-miljo-app","Standard","S1","48","38.628","0","20","0.0265779320987657","0"
"prd-thon-miljo-app","sql-prd-thon-miljo-app","master","rsg-prd-thon-miljo-app","System","System0",,,,,,
"prd-thon-shopping","sql-prd-thon-shopping-shared","sdb-prd-thon-shopping","rsg-prd-thon-shopping-shared","GP_S_Gen5","GP_S_Gen5_1","11984","11819.908","0","0","0","0"
"prd-thon-shopping","sql-prd-thon-shopping-shared","master","rsg-prd-thon-shopping-shared","System","System2L",,,,,,
"prd-thon-shopping","sql-prd-thon-shopping-shared","sdb-prd-thon-shopping-databank","rsg-prd-thon-shopping-shared","GP_S_Gen5","GP_S_Gen5_1","112","106.538","0","0","0","0"
"stg-thon-shopping","sql-stg-thon-shopping-shared","sdb-stg-thon-shopping-databank","rsg-stg-thon-shopping-shared","GP_S_Gen5","GP_S_Gen5_1","112","97.534","0","0","0","0"
"stg-thon-shopping","sql-stg-thon-shopping-shared","sdb-stg-thon-shopping","rsg-stg-thon-shopping-shared","Standard","S0","11984","11831.028","0","10","0.65560544837334","0"
"stg-thon-shopping","sql-stg-thon-shopping-shared","master","rsg-stg-thon-shopping-shared","System","System0",,,,,,
"sub-dev-leietakerportal","sql-dev-leietakerportal","master","rsg-dev-leietakerportal","System","System0",,,,,,
"sub-dev-leietakerportal","sql-dev-leietakerportal","sdb-dev-leietakerportal","rsg-dev-leietakerportal","Standard","S1","96","81.333","0","20","0.00258268301746561","0"
"sub-dev-leietakerportal","sql-tst-leietakerportal","master","rsg-tst-leietakerportal","System","System0",,,,,,
"sub-dev-leietakerportal","sql-tst-leietakerportal","sdb-tst-leietakerportal","rsg-tst-leietakerportal","Standard","S1","82.234","66.291","0","20","0.00102652474288036","0"
"sub-prd-appkjopesenter","thonshopping-profilehub-db","master","thon-profilehub-rg","System","System3",,,,,,
"sub-prd-appkjopesenter","thonshopping-profilehub-db","profilehub-prod","thon-profilehub-rg","GP_S_Gen5","GP_S_Gen5_20","15808","15672.693","0","0","0","0"
"sub-prd-appkjopesenter","thonshopping-profilehub-db","profilehub-prod_Copy","thon-profilehub-rg","GP_S_Gen5","GP_S_Gen5_20","15808","15685.762","0","0","0","0"
"sub-prd-appkjopesenter","thonshopping-profilehub-db","profilehub-test","thon-profilehub-rg","GP_S_Gen5","GP_S_Gen5_2","4592","597.945","0","0","0","0"
"sub-prd-appkjopesenter","thonshopping-profilehub-db","profilehub-prod_Copy_Eksport","thon-profilehub-rg","GP_S_Gen5","GP_S_Gen5_20","19483.088","11944.039","0","0","0","0"
"sub-prd-appkjopesenter","thonshopping-profilehub-db","profilehub-dev","thon-profilehub-rg","GP_S_Gen5","GP_S_Gen5_2","1296","501.812","0","0","0","0"
"sub-prd-appkjopesenter","thonshopping-profilehub-db","profilehub-stage","thon-profilehub-rg","GP_S_Gen5","GP_S_Gen5_2","4592","606.189","0","0","0","0"
"sub-prd-atlas","atlas-dev-sqlserver","push","Atlas-dev-rg","ElasticPool","ElasticPool","64","25.109","0","5","4.45601851851852E-05","0"
"sub-prd-atlas","atlas-dev-sqlserver","email","Atlas-dev-rg","ElasticPool","ElasticPool","32","23.764","0","5","3.18287037037037E-06","0"
"sub-prd-atlas","atlas-dev-sqlserver","master","Atlas-dev-rg","System","System2",,,,,,
"sub-prd-atlas","atlas-dev-sqlserver","hotel-app-backend","Atlas-dev-rg","ElasticPool","ElasticPool","96","42.383","0","5","0.00061062885802469","0"
"sub-prd-atlas","atlas-dev-sqlserver","block","Atlas-dev-rg","ElasticPool","ElasticPool","32","26.55","0","5","0.000586323302469135","0"
"sub-prd-atlas","atlas-dev-sqlserver","content","Atlas-dev-rg","ElasticPool","ElasticPool","1360","580.745","0","0","0.0703098958333623","0"
"sub-prd-atlas","atlas-dev-sqlserver","package","Atlas-dev-rg","ElasticPool","ElasticPool","48","29.688","0","5","0.00134288194444444","0"
"sub-prd-atlas","atlas-dev-sqlserver","atlas-identity","Atlas-dev-rg","ElasticPool","ElasticPool","208","44.863","0","5","0.0015333719135803","0"
"sub-prd-atlas","atlas-dev-sqlserver","external-identity","Atlas-dev-rg","ElasticPool","ElasticPool","32","25.103","0","5","7.43634259259259E-05","0"
"sub-prd-atlas","atlas-dev-sqlserver","sms","Atlas-dev-rg","ElasticPool","ElasticPool","32","21.383","0","5","7.2337962962963E-06","0"
"sub-prd-atlas","atlas-dev-sqlserver","profile","Atlas-dev-rg","ElasticPool","ElasticPool","480","424.15","0","5","0.000797743055555555","0"
"sub-prd-atlas","atlas-dev-sqlserver","urlshortener","Atlas-dev-rg","ElasticPool","ElasticPool","80","24.972","0","5","1.44675925925926E-05","0"
"sub-prd-atlas","atlas-dev-sqlserver","block_Dev_Copy","Atlas-dev-rg","ElasticPool","ElasticPool","32","26.088","0","5","0","0"
"sub-prd-atlas","atlas-dev-sqlserver","release-notes","Atlas-dev-rg","ElasticPool","ElasticPool","32","24.668","0","5","0","0"
"sub-prd-atlas","atlas-dev-sqlserver","facebookads","Atlas-dev-rg","ElasticPool","ElasticPool","48","27.905","0","5","0","0"
"sub-prd-atlas","atlas-dev-sqlserver","responsys","Atlas-dev-rg","ElasticPool","ElasticPool","480","453.298","0","5","0.00033805941358024","0"
"sub-prd-atlas","atlas-dev-sqlserver","payment","Atlas-dev-rg","ElasticPool","ElasticPool","96","48.639","0","5","0.000117476851851852","0"
"sub-prd-atlas","atlas-dev-sqlserver","signing","Atlas-dev-rg","ElasticPool","ElasticPool","32","23.954","0","5","0","0"
"sub-prd-atlas","atlas-dev-sqlserver","checkout","Atlas-dev-rg","ElasticPool","ElasticPool","64","25.658","0","5","7.88966049382716E-05","0"
"sub-prd-atlas","atlas-dev-sqlserver","giftcard.prodbackup","Atlas-dev-rg","ElasticPool","ElasticPool","144","129.081","0","6.28761574074074","0","0"
"sub-prd-atlas","atlas-dev-sqlserver","checkin","Atlas-dev-rg","ElasticPool","ElasticPool","160","41.524","0","5","0.000129726080246914","0"
"sub-prd-atlas","atlas-dev-sqlserver","company","Atlas-dev-rg","ElasticPool","ElasticPool","48","32.145","0","5","6.23070987654321E-05","0"
"sub-prd-atlas","atlas-dev-sqlserver","console","Atlas-dev-rg","ElasticPool","ElasticPool","122.938","118.711","0","5","0.0518451967592449","0"
"sub-prd-atlas","atlas-dev-sqlserver","article","Atlas-dev-rg","ElasticPool","ElasticPool","48","24.228","0","5","0.000204282407407408","0"
"sub-prd-atlas","atlas-dev-sqlserver","booking_Copy","Atlas-dev-rg","ElasticPool","ElasticPool","384","132.363","0","5","0","0"
"sub-prd-atlas","atlas-dev-sqlserver","pricefeed","Atlas-dev-rg","ElasticPool","ElasticPool","48","32.602","0","5","8.36226851851852E-05","0"
"sub-prd-atlas","atlas-dev-sqlserver","offline","Atlas-dev-rg","ElasticPool","ElasticPool","48","31.23","0","5","3.35648148148148E-05","0"
"sub-prd-atlas","atlas-dev-sqlserver","atlas-identity.backup","Atlas-dev-rg","ElasticPool","ElasticPool","80","43.613","0","5","0","0"
"sub-prd-atlas","atlas-dev-sqlserver","googlehotelads","Atlas-dev-rg","ElasticPool","ElasticPool","80","46.502","0","5","0","0"
"sub-prd-atlas","atlas-dev-sqlserver","tps","Atlas-dev-rg","ElasticPool","ElasticPool","80","0","0","5","0.000204282407407407","0"
"sub-prd-atlas","atlas-dev-sqlserver","review","Atlas-dev-rg","ElasticPool","ElasticPool","32","24.011","0","5","0","0"
"sub-prd-atlas","atlas-dev-sqlserver","giftcard","Atlas-dev-rg","ElasticPool","ElasticPool","80","27.879","0","5","5.35300925925926E-05","0"
"sub-prd-atlas","atlas-dev-sqlserver","ohip-events","Atlas-dev-rg","ElasticPool","ElasticPool","32","20.673","0","5","9.29783950617286E-05","0"
"sub-prd-atlas","atlas-dev-sqlserver","booking","Atlas-dev-rg","ElasticPool","ElasticPool","384","0","0","5","0.0230114776234572","0"
"sub-prd-atlas","atlas-dev-sqlserver","stay","Atlas-dev-rg","ElasticPool","ElasticPool","160","38.177","0","5","0.0173602430555557","0"
"sub-prd-atlas","atlas-dev-sqlserver","flex-identity","Atlas-dev-rg","ElasticPool","ElasticPool","48","27.865","0","5","4.83217592592593E-05","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","facebookads","Atlas-prod-rg","ElasticPool","ElasticPool","48","29.141","0","200","0","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","checkout","Atlas-prod-rg","ElasticPool","ElasticPool","2944","2913.677","0","200","0.250138888888889","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","push","Atlas-prod-rg","ElasticPool","ElasticPool","3760","1256.557","0","200","0.0669251543209877","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","responsys","Atlas-prod-rg","ElasticPool","ElasticPool","80","47.934","0","200","0.00794367283950617","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","booking_Copy_241031","Atlas-prod-rg","Standard","S0","16704","16677.633","0","9.99747753807716","0","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","stay","Atlas-prod-rg","ElasticPool","ElasticPool","3744","2265.78","0","200","0.348055555555556","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","booking","Atlas-prod-rg","ElasticPool","ElasticPool","17739.95","17708.76","0","200","12.6546797839506","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","package","Atlas-prod-rg","ElasticPool","ElasticPool","80","35.183","0","200","0.00304783950617284","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","email","Atlas-prod-rg","ElasticPool","ElasticPool","48","28.036","0","200","0","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","checkin","Atlas-prod-rg","ElasticPool","ElasticPool","4735.701","4699.202","0","200","0","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","offline","Atlas-prod-rg","ElasticPool","ElasticPool","48","28.107","0","200","0.000243055555555556","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","urlshortener","Atlas-prod-rg","ElasticPool","ElasticPool","80","29.284","0","200","0","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","sms","Atlas-prod-rg","ElasticPool","ElasticPool","128","115.988","0","200","0.00178240740740741","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","googlehotelads","Atlas-prod-rg","ElasticPool","ElasticPool","96","46.831","0","200","0","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","pricefeed","Atlas-prod-rg","ElasticPool","ElasticPool","144","78.598","0","200","0.000648148148148148","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","console","Atlas-prod-rg","ElasticPool","ElasticPool","816","407.119","0","200","0.0311496913580247","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","ohip-events","Atlas-prod-rg","ElasticPool","ElasticPool","32","22.581","0","200","0.0075","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","flex-identity","Atlas-prod-rg","ElasticPool","ElasticPool","48","29.67","0","200","0","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","hotel-app-backend","Atlas-prod-rg","ElasticPool","ElasticPool","288","207.396","0","200","0.624625771604939","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","payment","Atlas-prod-rg","ElasticPool","ElasticPool","8525.627","8494.451","0","200","0.112384259259259","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","article","Atlas-prod-rg","ElasticPool","ElasticPool","48","25.554","0","200","0.000324074074074074","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","content","Atlas-prod-rg","ElasticPool","ElasticPool","2256","2055.578","0","200","0.231909722222222","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","company","Atlas-prod-rg","ElasticPool","ElasticPool","80","49.705","0","200","0.0080787037037037","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","master","Atlas-prod-rg","System","System2",,,,,,
"sub-prd-atlas","thon-atlas-prod-sqlserver","giftcard","Atlas-prod-rg","ElasticPool","ElasticPool","352","308.273","0","200","0.0142013888888889","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","profile","Atlas-prod-rg","ElasticPool","ElasticPool","1808","1631.729","0","200","3.65052469135803","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","atlas-identity","Atlas-prod-rg","ElasticPool","ElasticPool","5456","4580.453","0","200","2.25518904320988","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","block","Atlas-prod-rg","ElasticPool","ElasticPool","48","26.516","0","200","0.000138888888888889","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","external-identity","Atlas-prod-rg","ElasticPool","ElasticPool","32","25.649","0","200","0","0"
"sub-prd-atlas","thon-atlas-prod-sqlserver","tps","Atlas-prod-rg","ElasticPool","ElasticPool","320","45.349","0","200","0.0115200617283951","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","content","Atlas-test-rg","ElasticPool","ElasticPool","3264","1151.049","0","10","0.209551118827264","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","console","Atlas-test-rg","ElasticPool","ElasticPool","752","186.704","0","10","0.0575788966049365","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","tps","Atlas-test-rg","ElasticPool","ElasticPool","80","39.734","0","10","0.000343557098765432","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","urlshortener","Atlas-test-rg","ElasticPool","ElasticPool","80","27.098","0","10","6.94444444444444E-06","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","external-identity","Atlas-test-rg","ElasticPool","ElasticPool","32","25.494","0","10","6.25E-05","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","booking","Atlas-test-rg","ElasticPool","ElasticPool","400","192.876","0","10","0.0358838734567894","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","flex-identity","Atlas-test-rg","ElasticPool","ElasticPool","48","27.924","0","10","1.38888888888889E-05","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","block_Test_Copy","Atlas-test-rg","ElasticPool","ElasticPool","48","28.749","0","10","0","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","payment","Atlas-test-rg","ElasticPool","ElasticPool","240","235.993","0","10","0.000425154320987654","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","offline","Atlas-test-rg","ElasticPool","ElasticPool","32","26.345","0","10","5.20833333333333E-05","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","checkout","Atlas-test-rg","ElasticPool","ElasticPool","64","28.61","0","10","6.0378086419753E-05","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","email","Atlas-test-rg","ElasticPool","ElasticPool","48","25.268","0","10","1.15740740740741E-06","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","push","Atlas-test-rg","ElasticPool","ElasticPool","352","30.978","0","10","1.27314814814815E-05","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","hotel-app-backend","Atlas-test-rg","ElasticPool","ElasticPool","128","57.637","0","10","0.00949633487654258","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","stay","Atlas-test-rg","ElasticPool","ElasticPool","192","77.892","0","10","0.0156473765432098","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","atlas-identity","Atlas-test-rg","ElasticPool","ElasticPool","2048","103.889","0","10","0.0036093750000001","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","ohip-events","Atlas-test-rg","ElasticPool","ElasticPool","32","21.34","0","10","8.33333333333333E-05","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","responsys","Atlas-test-rg","ElasticPool","ElasticPool","64","29.844","0","10","0.000175540123456791","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","checkin","Atlas-test-rg","ElasticPool","ElasticPool","144","70.625","0","10","0.000495949074074074","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","profile","Atlas-test-rg","ElasticPool","ElasticPool","96","38.991","0","10","0.00187172067901235","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","sms","Atlas-test-rg","ElasticPool","ElasticPool","32","25.292","0","10","2.31481481481481E-06","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","package","Atlas-test-rg","ElasticPool","ElasticPool","48","32.042","0","10","0.00245042438271605","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","pricefeed","Atlas-test-rg","ElasticPool","ElasticPool","48","35.622","0","0","0.000159143518518519","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","company","Atlas-test-rg","ElasticPool","ElasticPool","48","36.774","0","10","6.48148148148148E-05","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","block","Atlas-test-rg","ElasticPool","ElasticPool","48","29.884","0","10","0.000549382716049382","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","facebookads","Atlas-test-rg","ElasticPool","ElasticPool","48","29.141","0","10","0","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","googlehotelads","Atlas-test-rg","ElasticPool","ElasticPool","80","52.6","0","10","0","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","article","Atlas-test-rg","ElasticPool","ElasticPool","48","29.503","0","10","0.00630864197530861","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","giftcard","Atlas-test-rg","ElasticPool","ElasticPool","80","30.38","0","10","1.09953703703704E-05","0"
"sub-prd-atlas","thon-atlas-test-sqlserver","master","Atlas-test-rg","System","System2",,,,,,
"sub-prd-atlas","thon-atlas-uat-sqlserver","sms","atlas-uat-rg","ElasticPool","ElasticPool","32","24.496","0","10","4.62962962962963E-06","0"
"sub-prd-atlas","thon-atlas-uat-sqlserver","push","atlas-uat-rg","ElasticPool","ElasticPool","96","26.372","0","10","0","0"
"sub-prd-atlas","thon-atlas-uat-sqlserver","urlshortener","atlas-uat-rg","ElasticPool","ElasticPool","48","26.266","0","10","9.83796296296296E-06","0"
"sub-prd-atlas","thon-atlas-uat-sqlserver","payment","atlas-uat-rg","ElasticPool","ElasticPool","208","184.477","0","10","0.000649305555555555","0"
"sub-prd-atlas","thon-atlas-uat-sqlserver","ohip-events","atlas-uat-rg","ElasticPool","ElasticPool","32","22.907","0","10","5.78703703703704E-07","0"
"sub-prd-atlas","thon-atlas-uat-sqlserver","email","atlas-uat-rg","ElasticPool","ElasticPool","32","24.145","0","10","0.000549189814814815","0"
"sub-prd-atlas","thon-atlas-uat-sqlserver","profile","atlas-uat-rg","ElasticPool","ElasticPool","112","100.562","0","10","0.000152199074074074","0"
"sub-prd-atlas","thon-atlas-uat-sqlserver","master","atlas-uat-rg","System","System2",,,,,,
"sub-prd-atlas","thon-atlas-uat-sqlserver","atlas-identity","atlas-uat-rg","ElasticPool","ElasticPool","496","57.887","0","10","0.000383487654320988","0"
"sub-prd-atlas","thon-atlas-uat-sqlserver","content","atlas-uat-rg","ElasticPool","ElasticPool","1104","819.585","0","10","0.120975501543231","0"
"sub-prd-atlas","thon-atlas-uat-sqlserver","tps","atlas-uat-rg","ElasticPool","ElasticPool","80","36.691","0","10","4.91898148148148E-05","0"
"sub-prd-atlas","thon-atlas-uat-sqlserver","pricefeed","atlas-uat-rg","ElasticPool","ElasticPool","48","36.26","0","10","9.9537037037037E-05","0"
"sub-prd-atlas","thon-atlas-uat-sqlserver","checkout","atlas-uat-rg","ElasticPool","ElasticPool","64","26.925","0","10","6.48148148148148E-05","0"
"sub-prd-atlas","thon-atlas-uat-sqlserver","external-identity","atlas-uat-rg","ElasticPool","ElasticPool","32","24.734","0","10","5.20833333333333E-06","0"
